Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME;The $ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;
NORMAL_ISLAND_WAR_NAME;The $ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;
AGRESSION_ISLAND_WAR_NAME;The $ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;
NORMAL_PUNITIVE_EXPEDITION_WAR_NAME_ENG_QNG;The $ORDER$Opium War;;;;;;;;;;;;;
AGRESSION_PUNITIVE_EXPEDITION_WAR_NAME_ENG_QNG;The $ORDER$Opium War;;;;;;;;;;;;;
treaty_port_casus_belli;Punitive Expedition;;;;;;;;;;;;;
treaty_port_casus_belli_desc;Force a §Ycountry§W to negotiate an §Yunequal treaty§W, which includes a §Ytreaty port§W if there's one available.;;;;;;;;;;;;;
treaty_port_casus_belli_short;Negotiate an unequal treaty;;;;;;;;;;;;;
treaty_port_casus_belli_setup;Force a §Ycountry§W to negotiate an §Yunequal treaty§W, which includes a §Ytreaty port§W if there's one available.;;;;;;;;;;;;;
island_casus_belli;Acquire Island;;;;;;;;;;;;;
island_casus_belli_desc;Acquire an island;;;;;;;;;;;;;
island_casus_belli_short;Acquire an island from $RECIPIENT$;;;;;;;;;;;;;
island_casus_belli_setup;Acquire an enemy §Yisland§W;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_NAME_HAI_DOM;$ORDER$Dominican War of Independence;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_NAME_HAI_DOM;$ORDER$Dominican War of Independence;;;;;;;;;;;;;
AGRESSION_WAR_GUNBOAT_NAME;Gunboat Diplomacy;;;;;;;;;;;;;
status_quo;Status Quo;;;;;;;;;;;;;
AGRESSION_WAR_BOXER_NAME;Boxer War;;;;;;;;;;;;;
call_allies_cb;Call Allies;;;;;;;;;;;;;
call_allies_cb_desc;Call Allies into war;;;;;;;;;;;;;
AGRESSION_WAR_ALL_CORES_NAME;$ORDER$War of $FIRST$ Liberation;;;;;;;;;;;;;
NORMAL_WAR_ALL_CORES_NAME;$ORDER$War of $FIRST$ Liberation;;;;;;;;;;;;;
AGRESSION_WAR_HUMILIATE_NAME;$ORDER$$FIRST$ War to Humiliate $SECOND_COUNTRY$;$ORDER$ guerre pour l'honneur $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg der Ehre;;;;;;;;;;;
AGRESSION_WAR_PUPPET_NAME;$ORDER$War of $FIRST$ Control Over $SECOND_COUNTRY$;$ORDER$ guerre de $FIRST$ pour le contrôle de $SECOND_COUNTRY$;$ORDER$ Krieg um die Kontrolle von $FIRST$ über $SECOND_COUNTRY$;;;;;;;;;;;
NORMAL_CUT_DOWN_TO_SIZE_WAR_NAME;$ORDER$$FIRST$-$SECOND$ War;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$er Krieg;Baza;Guerra $ORDER$$FIRST$-$SECOND$;Base:;Alap:;Základna:;;;;;;
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME;$ORDER$War of $FIRST$ Aggression;$ORDER$$FIRST$ guerre d'aggression;$ORDER$$FIRST$er Angriffskrieg;Wojna $ORDER$$FIRST$-$SECOND$;$ORDER$Guerra de $FIRST$ agresión;$ORDER$ Guerra $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ hábor$ORDER$$FIRST$-$SECOND$ válka;;;;;;;
NORMAL_WAR_DISMANTLE_NAME;$ORDER$$FIRST$ War to Dismantle the $SECOND$ Empire;Grande Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Größer Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;
AGRESSION_WAR_DISMANTLE_NAME;$ORDER$ War of $FIRST$ Aggression;$ORDER$ Offensive Militaire $FIRST$;$ORDER$ $FIRST$ Angriffskrieg;Wojna $ORDER$$FIRST$-$SECOND$;Guerra $ORDER$$FIRST$-$SECOND$;$ORDER$ Guerra $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ hábor $ORDER$$FIRST$-$SECOND$ válka;;;;;;;
NORMAL_WAR_ZEMENE_MESAFINT_NAME;Zemene Mesafint;;;;;;;;;;;;;
AGRESSION_WAR_ZEMENE_MESAFINT_NAME;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_END_RADICALS_NAME;The $ORDER$War of $SECOND$ Restoration;;;;;;;;;;;;;
AGRESSION_WAR_END_RADICALS_NAME;The $ORDER$War of $SECOND$ Restoration;;;;;;;;;;;;;
NORMAL_WAR_GUILLOTINE_NAME;The $ORDER$War of $SECOND$ Liberation;;;;;;;;;;;;;
AGRESSION_WAR_GUILLOTINE_NAME;The $ORDER$War of $SECOND$ Liberation;;;;;;;;;;;;;
NORMAL_WAR_RECONQUISTA_NAME;The Spanish Reconquest of $SECOND$;;;;;;;;;;;;;
AGRESSION_WAR_RECONQUISTA_NAME;The Spanish Reconquest of $SECOND$;;;;;;;;;;;;;
NORMAL_WAR_AUSTRIAN_EMPIRE_NAME;$ORDER$$FIRST$-$SECOND$ War of Imperial Restoration;;;;;;;;;;;;;
AGRESSION_WAR_AUSTRIAN_EMPIRE_NAME;$ORDER$$FIRST$-$SECOND$ War of Imperial Restoration;;;;;;;;;;;;;
NORMAL_WAR_FREE_BALKANS_NAME;The $ORDER$$FIRST$-$SECOND$ War of the Balkans;;;;;;;;;;;;;
AGRESSION_WAR_FREE_BALKANS_NAME;The $ORDER$$FIRST$-$SECOND$ War of the Balkans;;;;;;;;;;;;;
NORMAL_WAR_MONROE_DOCTRINE_NAME;The $ORDER$$FIRST$-$SECOND$ War of Anti-Imperialism;;;;;;;;;;;;;
AGRESSION_WAR_MONROE_DOCTRINE_NAME;The $ORDER$$FIRST$-$SECOND$ War of Anti-Imperialism;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_AMERICA_NAME;The $ORDER$$FIRST$-$SECOND$ War of American Restoration;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_AMERICA_NAME;The $ORDER$$FIRST$-$SECOND$ War of American Restoration;;;;;;;;;;;;;
NORMAL_WAR_HOLY_LAND_NAME;The $ORDER$$FIRST$-$SECOND$ Levantine War;;;;;;;;;;;;;
AGRESSION_WAR_HOLY_LAND_NAME;The $ORDER$$FIRST$-$SECOND$ Levantine War;;;;;;;;;;;;;
NORMAL_WAR_BRITISH_RAJ_NAME;$ORDER$$SECOND$ War of the British Raj;;;;;;;;;;;;;
AGRESSION_WAR_BRITISH_RAJ_NAME;$ORDER$$SECOND$ War of the British Raj;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_USA_FSA;The $ORDER$American Civil War;$ORDER$ guerre de rébellion;$ORDER$Rebellionskrieg;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_USA_CSA;The $ORDER$American Civil War;$ORDER$ guerre de rébellion;$ORDER$Rebellionskrieg;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_CSA_USA;The $ORDER$American Civil War;$ORDER$ guerre de rébellion;$ORDER$Rebellionskrieg;;;;;;;;;;;
NORMAL_WAR_CHINA_REUNIFICATION;$ORDER$War of Chinese Reunification;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;
AGRESSION_WAR_CHINA_REUNIFICATION;$ORDER$War of Chinese Reunification;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;
NORMAL_WAR_SAHEL_JIHAD_NAME;$ORDER$$FIRST$ Jihad;;;;;;;;;;;;;
AGRESSION_WAR_SAHEL_JIHAD_NAME;$ORDER$$FIRST$ Jihad;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_ARG_ENT;The $ORDER$ Platine War;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_ORDER_NAME_ARG_ENT;The $ORDER$ Platine War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_JAP_SAT;The $ORDER$Boshin War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_JAP_CHO;The $ORDER$Boshin War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_JAP_TOS;The $ORDER$Boshin War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_JAP_KAG;The $ORDER$Boshin War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_JAP_SEN;The $ORDER$Boshin War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_JAP_YZW;The $ORDER$Boshin War;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_ENG_TRN;The $ORDER$Boer War;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_ENG_ORA;The $ORDER$Boer War;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_ENG_NAL;The $ORDER$Boer War;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_TUR_EGY;The $ORDER$Egyptian-Ottoman War;;;;;;;;;;;;;
AGGRESSION_WAR_PUPPET_NAME_TUR_EGY;The $ORDER$Egyptian-Ottoman War;;;;;;;;;;;;;
NORMAL_WAR_EGYPT_OTTOMAN_NAME_EGY_TUR;The Egyptian-Ottoman War;;;;;;;;;;;;;
AGRESSION_WAR_EGYPT_OTTOMAN_NAME_EGY_TUR;The Egyptian-Ottoman War;;;;;;;;;;;;;
NORMAL_WAR_BRITAIN_PERSIA_NAME_ENG_PER;The $ORDER$Anglo-Persian War;;;;;;;;;;;;;
AGRESSION_WAR_BRITAIN_PERSIA_NAME_ENG_PER;The $ORDER$Anglo-Persian War;;;;;;;;;;;;;
NORMAL_WAR_TAKE_NAME_ENG_QNG;The $ORDER$Opium War;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_SHW_GON;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_SHW_GON;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_SHW_TIG;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_SHW_TIG;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_GON_SHW;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_GON_SHW;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_GON_TIG;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_GON_TIG;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_TIG_SHW;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_TIG_SHW;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_TIG_GON;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_TIG_GON;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_TIG_GJM;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_TIG_GJM;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_GON_GJM;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_GON_GJM;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_SHW_GJM;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_SHW_GJM;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_GJM_TIG;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_GJM_TIG;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_GJM_GON;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_GJM_GON;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_GJM_SHW;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_GJM_SHW;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_WLO_TIG;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_WLO_TIG;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_WLO_GON;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_WLO_GON;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_WLO_SHW;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_WLO_SHW;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_WLO_GJM;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_WLO_GJM;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_TIG_WLO;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_TIG_WLO;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_GON_WLO;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_GON_WLO;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_SHW_WLO;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_SHW_WLO;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_GJM_WLO;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_GJM_WLO;Zemene Mesafint;;;;;;;;;;;;;
NORMAL_CUT_DOWN_TO_SIZE_NO_INFAMY_WAR_NAME_RUS_TUR;The $ORDER$War of Byzantine Restoration;;;;;;;;;;;;;
AGRESSION_CUT_DOWN_TO_SIZE_NO_INFAMY_WAR_NAME_RUS_TUR;The $ORDER$War of Byzantine Restoration;;;;;;;;;;;;;
NORMAL_CUT_DOWN_TO_SIZE_WAR_NAME_RUS_TUR;The $ORDER$Crimean War;;;;;;;;;;;;;
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_RUS_TUR;The $ORDER$Crimean War;;;;;;;;;;;;;
NORMAL_WAR_FREE_ALLIED_CORE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Restoration;;;;;;;;;;;;;
AGRESSION_WAR_FREE_ALLIED_CORE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Restoration;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_NAME_QNG_XIN;The Holy War of the Seven Khojas;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_NAME_QNG_XIN;The Holy War of the Seven Khojas;;;;;;;;;;;;;
NORMAL_WAR_COLONIAL_RECONQUEST_NAME;$ORDER$$FIRST$ War of Colonial Reconquest;;;;;;;;;;;;;
AGRESSION_WAR_COLONIAL_RECONQUEST_NAME;$ORDER$$FIRST$ War of Colonial Reconquest;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_TUR_ROM;The $ORDER$Romanian War of Independence;;;;;;;;;;;;;
AGRESSION_WAR_PUPPET_NAME_TUR_ROM;The $ORDER$Romanian War of Independence;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_ENG_IRE;The $ORDER$Irish War of Independence;;;;;;;;;;;;;
AGRESSION_WAR_PUPPET_NAME_ENG_IRE;The $ORDER$Irish War of Independence;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_NEJ_HAL;$ORDER$War of Arabian Domination;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_HAL_NEJ;$ORDER$War of Arabian Domination;;;;;;;;;;;;;
NORMAL_WAR_NAME_ENG_USA;$ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;
NORMAL_WAR_TAKE_NAME_ENG_USA;$ORDER$$FIRST$ Conquest of $STATE$;;;;;;;;;;;;;
NORMAL_WAR_TAKE_CORE_NAME_ENG_USA;$ORDER$$FIRST$ Liberation of $STATE$;;;;;;;;;;;;;
AGRESSION_WAR_ALL_CORES_NAME_USA_MEX;The $ORDER$Mexican-American War;;;;;;;;;;;;;
NORMAL_WAR_ALL_CORES_NAME_USA_MEX;The $ORDER$Mexican-American War;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_QNG_TPG;The Taiping Rebellion;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_QNG_TPG;The Taiping Rebellion;;;;;;;;;;;;;
punitive_effects;National Humiliation;Humiliation Nationale;Nationale Erniedrigung;;;;;;;;;;;
punitive_effects_desc;Our humiliation at the hands of the victors, and the punitive effects of reparations have taken its toll on our people. We will be all but unable to wage war unless someone declares war on us first.;;;;;;;;;;;;;
no_more_war;No More War;Nous ne Voulons pas la Guerre;Wir Wünschen Nicht Krieg;;;;;;;;;;;
no_more_war_desc;Our people are tired of war. It will be difficult to get their enthusiasm for another anytime soon, so in the meantime our ability to wage war will be very limited. §YNOTE: This means you have very few CB's that you can begin a war with while this modifier lasts!§W;;;;;;;;;;;;;
end_the_war;End the War;La Guerre Doit Finir;Der Krieg Muss Beenden;;;;;;;;;;;
end_the_war_desc;Our enemy is defeated. The people call out for us to end the war, even if we don't get everything we intended.;;;;;;;;;;;;;
international_pariah;International Pariah;Paria International;Internationales Ausgestossen;;;;;;;;;;;
international_pariah_desc;We are a pariah in the international community for our aggressive policies.;;;;;;;;;;;;;
great_war;Total War;Guerre Totale;Größer Krieg;;;;;;;;;;;
great_war_desc;We are in a state of total war with our enemies. We must rise up as one, or risk the destruction of our entire way of life.;;;;;;;;;;;;;
great_war2;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;
great_war2_desc;Massive shortages are causing our people's enthusiasm for war to dim.;;;;;;;;;;;;;
great_war3;Is It All For Nothing?;Est-il Tout Pour Rien ?;Ist Alles Für Nichts?;;;;;;;;;;;
great_war3_desc;If we do not end the war soon, things will go very badly for us.;;;;;;;;;;;;;
dismantle_cb;Dismantle Nation;Grande Guerre;Gesamtkrieg;;;;;;;;;;;
dismantle_cb_desc;Force an enemy §Ygreat power§W to dismantle their empire and pay reparations;Obliger un autre §Ypays§W à désarmer et à nous verser des compensations;Zwischen Sie ein anderes §YLand§W zur Abrüstung und zu Reparationszahlungen an uns.;;;;;;;;;;;
dismantle_cb_short;Force $RECIPIENT$ to dismantle their empire;Réduire $RECIPIENT$;Reduzieren Sie die Größe von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_setup;Force $RECIPIENT$ to dismantle their empire;Réduire $RECIPIENT$;Reduzieren Sie die Größe von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_add;Dismantle Nation;Grande Guerre;Größer Krieg;;;;;;;;;;;
dismantle_cb_add_desc;Force an enemy §Ygreat power§W to dismantle their empire and pay reparations;Obliger un autre §Ypays§W à désarmer et à nous verser des compensations;Zwischen Sie ein anderes §YLand§W zur Abrüstung und zu Reparationszahlungen an uns.;;;;;;;;;;;
dismantle_cb_add_short;Force $RECIPIENT$ to dismantle their empire;Réduire $RECIPIENT$;Reduzieren Sie die Größe von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_add_setup;Force $RECIPIENT$ to dismantle their empire;Réduire $RECIPIENT$;Reduzieren Sie die Größe von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_add_new;Dismantle Nation;Grande Guerre;Größer Krieg;;;;;;;;;;;
dismantle_cb_add_new_desc;Force an enemy §Ygreat power§W to dismantle their empire and pay reparations;Obliger un autre §Ypays§W à désarmer et à nous verser des compensations;Zwischen Sie ein anderes §YLand§W zur Abrüstung und zu Reparationszahlungen an uns.;;;;;;;;;;;
dismantle_cb_add_new_short;Force $RECIPIENT$ to dismantle their empire;Réduire $RECIPIENT$;Reduzieren Sie die Größe von $RECIPIENT$;;;;;;;;;;;
dismantle_cb_add_new_setup;Force $RECIPIENT$ to dismantle their empire;Réduire $RECIPIENT$;Reduzieren Sie die Größe von $RECIPIENT$;;;;;;;;;;;
